tweet_id,author_id,created_at,brand,inbound_text,inbound_raw,brand_reply,prev_turn,thread_len,inbound
2902684,803953,2016-11-20 22:58:00+00:00,AmazonHelp,@user I haven't - I've been having problems doing it on the web player,@AmazonHelp I haven't - I've been having problems doing it on the web player,,,1,True
2471028,261759,2017-01-03 16:47:37+00:00,AmazonHelp,@user Estaba esperando anoche un pedido que cada vez se retrasa más. Cómo es posible que un envío que estoy pagando se demore 40 días?!,@115821 Estaba esperando anoche un pedido que cada vez se retrasa más. Cómo es posible que un envío que estoy pagando se demore 40 días?!,,,1,True
2535857,721428,2017-01-06 06:49:26+00:00,AmazonHelp,@user @user this is what amazon delivered me on 30-Dec-2016 with false commitment regarding replacement. [URL],"@115821 @98406 
this is what amazon delivered me on 30-Dec-2016 with false commitment regarding replacement. https://t.co/InlCamqfkD",,,1,True
179708,158320,2017-04-10 07:01:56+00:00,AmazonHelp,@user Guys what's wrong..again my order delayed @user [URL],@AmazonHelp Guys what's wrong..again my order delayed @115850 https://t.co/ukMEmqhY05,,,1,True
244895,174150,2017-05-27 01:52:25+00:00,AmazonHelp,@user spam incoming!,@AmazonHelp spam incoming!,,,1,True
1422802,309803,2017-06-03 12:30:56+00:00,AmazonHelp,@user I can't reply to email I got back from them. Say I should set up 2FA. Whyyy? I share this account with wife. Makes ZERO sense to my problem,@AmazonHelp I can't reply to email I got back from them. Say I should set up 2FA. Whyyy? I share this account with wife. Makes ZERO sense to my problem,,,1,True
2923454,809007,2017-06-30 06:48:18+00:00,AmazonHelp,@user @user #oneplus5 What about the OnePlus 5 contest winners which were to be announced today,@132994 @115850 #oneplus5 What about the OnePlus 5 contest winners which were to be announced today,,,1,True
841254,320144,2017-07-04 15:47:05+00:00,AmazonHelp,@user No need I have cancelled the order. Won't disturb you again. Anyways you are as useless as your customer care representatives. #AmazonSucks,"@AmazonHelp No need I have cancelled the order. Won't disturb you again. Anyways you are as useless as your customer care representatives.
#AmazonSucks",,,1,True
2594957,734787,2017-07-14 20:49:28+00:00,AmazonHelp,"@user As I said, yes. It went straight to voice mail, and they didn't call back","@AmazonHelp As I said, yes. It went straight to voice mail, and they didn't call back",,,1,True
2923442,809006,2017-07-15 02:50:27+00:00,AmazonHelp,@user What is the status of amazon secret door contest winner list ??,@AmazonHelp What is the status of amazon secret door contest winner list ??,,,1,True
